name,slug,parent_company,registered_company,licence_issuer,regulator,jurisdiction,ontario_launch_year,min_age,currency,payment_methods,withdrawal_speed,min_deposit,min_withdrawal,support_channels,games_count,primary_game_provider,has_sportsbook,loyalty_program,mobile_experience,casinogpt_review_url,last_updated
Caesars Palace Online,caesars-palace-online,American Wagering Inc (Caesars Entertainment),,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Apple Pay; InstaDebit; Interac; Mastercard; PayPal; Visa",1-3 business days,$10,,"24/7 live chat, email, phone",900+,Multiple providers,false,Caesars Rewards,Dedicated mobile app,https://casinogpt.ai/casinos/ontario/caesars-palace-online,2026-03-19
Captain Cooks Casino,captain-cooks-casino,Apollo Entertainment Limited,Apollo Entertainment Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; MuchBetter; Visa",1-3 business days,$5 (initial),$50,"Live Chat, Email",550+,Microgaming,false,Shared VIP Loyalty Network,Browser-based responsive,https://casinogpt.ai/casinos/ontario/captain-cooks-casino,2026-03-11
Casino Classic,casino-classic,Apollo Entertainment Limited,Apollo Entertainment Ltd,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,$50,"Live Chat, Email",550+,Microgaming,false,Shared VIP Loyalty Network,Browser-based responsive,https://casinogpt.ai/casinos/ontario/casino-classic,2026-03-11
Casino Days,casino-days,Dazzletag Entertainment N.V.,"Well Played Media, Unipessoal LDA",Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,,,,,,,,false,,,https://casinogpt.ai/casinos/ontario/casino-days,2026-03-11
Casumo,casumo,Pret Play Limited,,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,,"Live chat, email","2,000+",Multiple providers,false,Casumo Adventure (gamified),Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/casumo,2026-03-19
ComeOn,comeon,Bunchberry Limited (ComeOn Group),,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"iDebit; InstaDebit; Interac; Mastercard; MuchBetter; PaysafeCard; Visa",1-3 business days,$10,,"Live chat, email","1,800+",Multiple providers,true,ComeOn Rewards,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/comeon,2026-03-19
Conquestador,conquestador,Mobile Incorporated Limited,,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Bitcoin; Interac; Mastercard; Neteller; PayPal; PaysafeCard; Revolut; Skrill; Visa",1-3 business days,$10,,"24/7 live chat, email","4,000+",Multiple providers,false,Conquestador VIP,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/conquestador,2026-03-19
DraftKings Casino,draftkings,Crown DK CAN Ltd.,,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Interac; Mastercard; PayPal; Visa",1-3 business days,$5,,"24/7 live chat, email",800+,Multiple providers,true,DraftKings Dynasty Rewards,Dedicated iOS and Android apps,https://casinogpt.ai/casinos/ontario/draftkings,2026-03-19
FanDuel Casino,fanduel,FanDuel Canada ULC (Flutter Entertainment),,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Interac; PayPal; Visa",1-3 business days,$10,,"24/7 live chat, email",600+,Multiple providers,true,FanDuel Rewards,Dedicated iOS and Android apps,https://casinogpt.ai/casinos/ontario/fanduel,2026-03-19
FireVegas,firevegas,FireVegas Limited,TWHG Inc.,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,,,,,,,,false,,,https://casinogpt.ai/casinos/ontario/firevegas,2026-03-11
GGPoker,ggpoker,NSUS Limited,NSUS Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Mastercard; MuchBetter; Neteller; PayPal; Skrill; Trustly; Visa",1-3 business days,$10,,"Live chat 24/7, email",500+,Multi-provider,false,GGPoker Rewards,Dedicated app (iOS/Android),https://casinogpt.ai/casinos/ontario/ggpoker,2026-04-07
Golden Tiger Casino,golden-tiger-casino,Apollo Entertainment Limited,Apollo Entertainment Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,$50,"Live Chat, Email",550+,Microgaming,false,Shared VIP Loyalty Network,Browser-based responsive,https://casinogpt.ai/casinos/ontario/golden-tiger-casino,2026-03-11
Grand Mondial Casino,grand-mondial-casino,Apollo Entertainment Limited,Apollo Entertainment Ltd,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,$50,"Live Chat, Email",550+,Microgaming,false,Shared VIP Loyalty Network,Browser-based responsive,https://casinogpt.ai/casinos/ontario/grand-mondial-casino,2026-03-11
Horseshoe Online Casino,horseshoe-online-casino,American Wagering Inc (Caesars),,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Apple Pay; InstaDebit; Interac; Mastercard; PayPal; Visa",1-3 business days,$10,,"Live chat, email","1,500+",Multi-provider,false,Caesars Rewards,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/horseshoe-online-casino,2026-04-07
Jackpot City,jackpot-city,Cadtree Limited,Cadtree Limited (Alderney registration no. 2031),Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Apple Pay; Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,$50,"24/7 Live Chat, Email","1,000+","Games Global, Pragmatic Play, OnAir Entertainment",false,Shared VIP Loyalty Network,iOS & Android apps + browser,https://casinogpt.ai/casinos/ontario/jackpot-city,2026-03-11
LeoVegas,leovegas,TigerGen Limited (MGM Resorts),TigerGen Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"iDebit; InstaDebit; Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,,"24/7 live chat, email","1,000+",Multiple providers,false,LeoVegas VIP,Award-winning mobile apps (King of Mobile),https://casinogpt.ai/casinos/ontario/leovegas,2026-03-19
LuckyDays,luckydays,L7 Entertainment Limited,,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Bank Transfer; iDebit; InstaDebit; Interac; Mastercard; MuchBetter; Neosurf; PaysafeCard; Visa",1-3 business days,$20,,"Live chat 24/7, email","2,600+",Multi-provider,false,LuckyDays rewards,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/luckydays,2026-04-07
Luxury Casino,luxury-casino,Apollo Entertainment Limited,Apollo Entertainment Ltd,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,$50,"Live Chat, Email",550+,Microgaming,false,Shared VIP Loyalty Network,Browser-based responsive,https://casinogpt.ai/casinos/ontario/luxury-casino,2026-03-11
NorthStar Bets,northstar-bets,NorthStar Gaming (Ontario) Inc.,NorthStar Gaming (Ontario) Inc.,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Interac; Mastercard; PayPal; Visa",1-3 business days,$10,,"Live chat, email",400+,Multiple providers,true,NorthStar Rewards,Dedicated apps,https://casinogpt.ai/casinos/ontario/northstar-bets,2026-03-19
Party Casino,party-casino,Entain PLC,Entain PLC,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,,,,,,,,false,,,https://casinogpt.ai/casinos/ontario/party-casino,2026-03-11
Pinnacle,pinnacle,Pinny (Ontario) Limited,Pinny (Ontario) Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Bank Transfer; Bitcoin; Mastercard; MuchBetter; Neteller; PaysafeCard; Visa",1-3 business days,$10,,"Email, help center",500+,Multi-provider,true,None (value through odds),Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/pinnacle,2026-04-07
Play OJO,play-ojo,SkillOnNet Ltd,SkillOnNet Ltd,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; Visa",1-3 business days,$10,$20,"Live Chat, Email","2,000+","Multi-provider (NetEnt, Microgaming, Play'n GO, Pragmatic)",false,OJO Plus Loyalty,iOS & Android app + browser,https://casinogpt.ai/casinos/ontario/play-ojo,2026-03-11
PlayFallsview,playfallsview,MGE Digital Canada Inc.,,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Interac; Mastercard; PayPal; Visa",1-3 business days,$10,,"Live chat, email","1,000+",Multi-provider,true,Mohegan Sun rewards,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/playfallsview,2026-04-07
PointsBet,pointsbet,PointsBet Canada Operations 1 Inc.,PointsBet Canada Operations 1 Inc.,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Apple Pay; Google Pay; Interac; Mastercard; PayPal; Trustly; Visa",30 minutes (PayPal),$10,,"24/7 live chat, email","1,300+",Multiple providers,true,PointsBet Rewards,Dedicated iOS and Android apps,https://casinogpt.ai/casinos/ontario/pointsbet,2026-03-19
PokerStars Casino,pokerstars-casino,TSG Interactive Canada Inc. (Flutter Entertainment),,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Apple Pay; Interac; Mastercard; PayPal; PaysafeCard; Skrill; Visa",1-3 business days,$10,,"24/7 live chat, email","1,000+",Multiple providers,true,Stars Rewards,Dedicated iOS and Android apps,https://casinogpt.ai/casinos/ontario/pokerstars-casino,2026-03-19
PowerPlay,powerplay,Trillium Ventures Limited,Trillium Ventures Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Interac; Mastercard; Visa",1-3 business days,$10,,"Live chat 24/7, email","1,000+",Multi-provider,true,PowerPlay rewards,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/powerplay,2026-04-07
Royal Panda,royal-panda,TigerGen Limited (MGM),TigerGen Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"iDebit; InstaDebit; Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,,"Live chat, email","3,000+","Multi-provider (NetEnt, Microgaming, Evolution)",false,Royal Panda loyalty,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/royal-panda,2026-04-07
Royal Vegas,royal-vegas,Digimedia Limited,Digimedia Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,$50,"Live Chat, Email",700+,Microgaming + Multi-provider,false,Shared VIP Loyalty Network,iOS & Android apps + browser,https://casinogpt.ai/casinos/ontario/royal-vegas,2026-03-11
Ruby Fortune,ruby-fortune,Palace Group Casinos,Cadtree Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,$50,"Live Chat, Email",450+,Microgaming / Games Global,false,Shared VIP Loyalty Network,Browser-based responsive,https://casinogpt.ai/casinos/ontario/ruby-fortune,2026-03-11
Spin Casino,spin-casino,Palace Group Casinos,Cadtree Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,$50,"24/7 Live Chat, Email",600+,Microgaming / Games Global,false,Shared VIP Loyalty Network,Browser-based responsive,https://casinogpt.ai/casinos/ontario/spin-casino,2026-03-11
Sports Interaction,sports-interaction,Mohawk Online Limited,ElectraWorks Maple Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,,,,,,,,false,,,https://casinogpt.ai/casinos/ontario/sports-interaction,2026-03-11
Stardust Casino,stardust-casino,"Pala Interactive Canada, Inc.",,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"InstaDebit; Interac; Mastercard; PayPal; Trustly; Visa",14 hours avg (Interac),$10,,"Live chat, email","2,500+",Multiple providers,false,Stardust Rewards,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/stardust-casino,2026-03-19
theScore Bet,thescore-bet,Score Media and Gaming Inc. (Penn Entertainment),Score Media and Gaming Inc.,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Interac; Mastercard; Visa",1-3 business days,$10,,"24/7 live chat, email","2,200+",Multiple providers,true,theScore Rewards,Dedicated apps (built from media empire),https://casinogpt.ai/casinos/ontario/thescore-bet,2026-03-19
TonyBet,tonybet,TonyBet Canada Inc.,Ligtip Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,,,,,,,,false,,,https://casinogpt.ai/casinos/ontario/tonybet,2026-03-11
ToonieBet,toonie-bet,TG Lab Inc.,Canadix Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,,,,,,,,false,,,https://casinogpt.ai/casinos/ontario/toonie-bet,2026-03-11
Toppz,toppz,Toppz Limited,TWHG Inc.,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,,,,,,,,false,,,https://casinogpt.ai/casinos/ontario/toppz,2026-03-11
Yukon Gold Casino,yukon-gold,Apollo Entertainment Limited,,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; MuchBetter; Visa",1-3 business days,$10,$50,"Live Chat, Email",550+,Microgaming,false,Shared VIP Loyalty Network,Browser-based responsive,https://casinogpt.ai/casinos/ontario/yukon-gold,2026-03-11
Zodiac Casino,zodiac-casino,Apollo Entertainment Limited,Apollo Entertainment Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; MuchBetter; Visa",1-3 business days,$1 (initial),$50,"Live Chat, Email",550+,Microgaming,false,Shared VIP Loyalty Network,Browser-based responsive,https://casinogpt.ai/casinos/ontario/zodiac-casino,2026-03-11
